Majors,Terms in Attendance
Computer Science BA,6
Economics BA,6
Electrical Eng & Comp Sci BS,6
Electrical Eng & Comp Sci BS,6
Cognitive Science BA,6
Computer Science BA,6
Economics BA,6
Computer Science BA,6
Bioengineering BS,6
Molecular & Cell Biology BA,6
Electrical Eng & Comp Sci BS,6
Economics BA,6
Computer Science BA,6
Applied Mathematics BA,6
Japanese Language BA,6
Industrial Eng & Ops Rsch BS,6
Data Science BA,6
Electrical Eng & Comp Sci BS,6
Bioengineering BS,6
Computer Science BA,6
Public Health BA,6
Computer Science BA,6
Economics BA,6
Computer Science BA,6
Computer Science BA,6
Cognitive Science BA,6
Electrical Eng & Comp Sci BS,6
Computer Science BA,6
Computer Science BA,6
Civil Engineering BS,6
Electrical Eng & Comp Sci BS,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Data Science BA,6
Data Science BA,6
"Bioengineering BS, Electrical Eng & Comp Sci BS",6
Computer Science BA,6
Cognitive Science BA,6
Public Health BA,6
Urban Studies BA,6
Industrial Eng & Ops Rsch BS,6
Electrical Eng & Comp Sci BS,6
Mechanical Engineering BS,6
Economics BA,6
Materials Science & Eng BS,6
Cognitive Science BA,6
Computer Science BA,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
"Environ Econ & Policy BS, Letters & Sci Undeclared UG",6
Materials Science & Eng BS,6
"Computer Science BA, Mathematics BA",6
"Civil Engineering BS, Computer Science BA",6
Economics BA,6
"Data Science BA, Economics BA",6
Electrical Eng & Comp Sci BS,6
Society and Environment BS,6
Electrical Eng & Comp Sci BS,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Electrical Eng & Comp Sci BS,6
Computer Science BA,6
Mechanical Engineering BS,6
Civil Engineering BS,6
Electrical Eng & Comp Sci BS,6
"Chemical Biology BS, Letters & Sci Undeclared UG",6
Data Science BA,6
"Bioengineering BS, Electrical Eng & Comp Sci BS",6
Computer Science BA,6
"Chemical Engineering BS, Civil Engineering BS",6
Letters & Sci Undeclared UG,6
Environ Econ & Policy BS,6
Data Science BA,6
"CNR Undeclared UG, Economics BA",6
Computer Science BA,6
Computer Science BA,6
"Conserv & Resource Stds BS, Letters & Sci Undeclared UG",6
Computer Science BA,6
Cognitive Science BA,6
Electrical Eng & Comp Sci BS,6
Civil Engineering BS,6
Data Science BA,6
Computer Science BA,6
"Data Science BA, Economics BA",6
Media Studies BA,6
"CNR Undeclared UG, Letters & Sci Undeclared UG",6
Chemical Engineering BS,6
Political Science BA,6
Computer Science BA,6
Computer Science BA,6
"Letters & Sci Undeclared UG, Molecular Environ Biology BS",6
"Computer Science BA, Public Health BA",6
Economics BA,6
Bioengineering BS,6
"Computer Science BA, Economics BA",6
Computer Science BA,6
MCB-Cell & Dev Biology BA,6
Computer Science BA,6
"CNR Undeclared UG, Statistics BA",6
"Business Administration BS, Economics BA",6
Letters & Sci Undeclared UG,6
Computer Science BA,6
Letters & Sci Undeclared UG,6
"Data Science BA, Economics BA",6
Electrical Eng & Comp Sci BS,6
Data Science BA,6
"Computer Science BA, Statistics BA",6
Molecular & Cell Biology BA,6
Materials Science & Eng BS,6
EECS/MSE Joint Major BS,6
"Chemistry BS, Materials Science & Eng BS",6
Letters & Sci Undeclared UG,6
Computer Science BA,6
"Computer Science BA, Data Science BA",6
Economics BA,6
Cognitive Science BA,6
Statistics BA,6
"Applied Mathematics BA, Computer Science BA",6
Letters & Sci Undeclared UG,6
"Letters & Sci Undeclared UG, Nutritional Science BS",6
Economics BA,6
"Business Administration BS, Economics BA",6
"Applied Mathematics BA, Computer Science BA",6
"Computer Science BA, Data Science BA",6
"Computer Science BA, Economics BA",6
"Applied Mathematics BA, Economics BA",6
"Computer Science BA, Molecular Environ Biology BS",6
MCB-Immunology BA,6
"Cognitive Science BA, Economics BA",6
Computer Science BA,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Data Science BA,6
Cognitive Science BA,6
"Bioengineering BS, Letters & Sci Undeclared UG",6
English BA,6
Economics BA,6
"Computer Science BA, Data Science BA",6
Political Economy BA,6
Computer Science BA,6
"Applied Mathematics BA, Data Science BA",6
"Business Administration BS, Letters & Sci Undeclared UG",6
Political Economy BA,6
"Business Administration BS, Letters & Sci Undeclared UG",6
"Bioengineering BS, Electrical Eng & Comp Sci BS",6
Astrophysics BA,6
Computer Science BA,6
"Bioengineering BS, Letters & Sci Undeclared UG",6
Data Science BA,6
Computer Science BA,6
Cognitive Science BA,6
Cognitive Science BA,6
Economics BA,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Computer Science BA,6
"CNR Undeclared UG, Letters & Sci Undeclared UG",6
MCB-Biochem & Mol Biol BA,6
Data Science BA,6
"Business Administration BS, Letters & Sci Undeclared UG",6
Cognitive Science BA,6
"Business Administration BS, Letters & Sci Undeclared UG",6
Industrial Eng & Ops Rsch BS,6
"Computer Science BA, Statistics BA",6
Economics BA,6
Economics BA,6
"Business Administration BS, Letters & Sci Undeclared UG",6
"Computer Science BA, Economics BA",6
Data Science BA,6
Applied Mathematics BA,6
Letters & Sci Undeclared UG,6
Microbial Biology BS,6
Data Science BA,6
Civil Engineering BS,6
Computer Science BA,6
MCB-Immunology BA,6
"Letters & Sci Undeclared UG, Microbial Biology BS",6
Psychology BA,6
Letters & Sci Undeclared UG,6
"Business Administration BS, Letters & Sci Undeclared UG",6
"Computer Science BA, Economics BA",6
"Business Administration BS, Letters & Sci Undeclared UG",6
Letters & Sci Undeclared UG,6
Computer Science BA,6
Chemical Engineering BS,6
Letters & Sci Undeclared UG,6
"CNR Undeclared UG, Economics BA",6
Molecular & Cell Biology BA,6
Applied Mathematics BA,6
Economics BA,6
"Business Administration BS, Letters & Sci Undeclared UG",6
Psychology BA,6
"CNR Undeclared UG, Letters & Sci Undeclared UG",6
"Economics BA, Statistics BA",6
Applied Mathematics BA,6
Cognitive Science BA,6
Bioengineering BS,6
"Bioengineering BS, Electrical Eng & Comp Sci BS",6
Electrical Eng & Comp Sci BS,6
"Economics BA, Psychology BA",6
Electrical Eng & Comp Sci BS,6
Media Studies BA,6
Letters & Sci Undeclared UG,6
"Business Administration BS, Computer Science BA, Letters & Sci Undeclared UG",6
Data Science BA,6
Applied Mathematics BA,6
"Bioengineering BS, Letters & Sci Undeclared UG",6
Computer Science BA,6
Cognitive Science BA,6
Chemical Engineering BS,6
Applied Mathematics BA,6
"Atmospheric Science BA, Chemistry BS",6
"Cognitive Science BA, Sociology BA",6
Cognitive Science BA,6
Computer Science BA,6
Computer Science BA,6
Cognitive Science BA,6
Economics BA,6
Applied Mathematics BA,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Data Science BA,6
Computer Science BA,6
Chemical Engineering BS,6
"Computer Science BA, Molecular Environ Biology BS",6
Computer Science BA,6
Cognitive Science BA,6
Ethnic Studies BA,6
"Data Science BA, Political Science BA",6
Computer Science BA,6
Interdisciplinary Studies BA,6
"Computer Science BA, Statistics BA",6
Environ Econ & Policy BS,6
Letters & Sci Undeclared UG,6
Computer Science BA,6
Legal Studies BA,6
Interdisciplinary Studies BA,6
Data Science BA,6
Data Science BA,6
Computer Science BA,6
Letters & Sci Undeclared UG,6
Economics BA,6
Economics BA,6
Electrical Eng & Comp Sci BS,6
Economics BA,6
Civil Engineering BS,6
Computer Science BA,6
Computer Science BA,6
Computer Science BA,6
Materials Science & Eng BS,6
Letters & Sci Undeclared UG,6
Computer Science BA,6
Electrical Eng & Comp Sci BS,6
Letters & Sci Undeclared UG,6
Interdisciplinary Studies BA,6
Letters & Sci Undeclared UG,6
Statistics BA,6
Data Science BA,6
Data Science BA,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Civil Engineering BS,6
Letters & Sci Undeclared UG,6
Civil Engineering BS,6
Letters & Sci Undeclared UG,6
Applied Mathematics BA,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Cognitive Science BA,6
Letters & Sci Undeclared UG,6
Electrical Eng & Comp Sci BS,6
Civil Engineering BS,6
Electrical Eng & Comp Sci BS,6
Civil Engineering BS,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Civil Engineering BS,6
Statistics BA,6
Data Science BA,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Civil Engineering BS,6
Materials Science & Eng BS,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Electrical Eng & Comp Sci BS,6
Statistics BA,6
Letters & Sci Undeclared UG,6
Applied Mathematics BA,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
